食品名,エネルギーkcal,たんぱく質,脂質,炭水化物,食塩相当量,,,,,,,
鶏卵　全卵　乾燥全卵,542.0 ,49.1 ,42.0,0.2 ,1.2 ,,,,,,,
鶏卵　卵黄　生,336.0 ,16.5 ,34.3 ,0.2 ,0.1 ,,,,,,,
鶏卵　卵黄　ゆで,330.0 ,16.1 ,34.1 ,0.2 ,0.1 ,,,,,,,
鶏卵　卵黄　加糖卵黄,327.0 ,12.1 ,23.9 ,20.7 ,0.1 ,,,,,,,
鶏卵　卵黄　乾燥卵黄,638.0 ,30.3 ,62.9 ,0.2 ,0.2 ,,,,,,,
鶏卵　卵白　生,44.0 ,10.1 ,Tr,0.5 ,0.5 ,,,,,,,
鶏卵　卵白　ゆで,46.0 ,10.5 ,0.1 ,0.4 ,0.4 ,,,,,,,
鶏卵　卵白　乾燥卵白,350.0 ,86.5 ,0.4 ,0.2 ,3.3 ,,,,,,,
鶏卵　たまご豆腐,76.0 ,6.5 ,5.3 ,0.9 ,1.0 ,,,,,,,
鶏卵　たまご焼　厚焼きたまご,146.0 ,10.5 ,9.2 ,6.5 ,1.2 ,,,,,,,
鶏卵　たまご焼　だし巻きたまご,123.0 ,11.0 ,9.2 ,0.5 ,1.2 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　生乳　ジャージー種,77.0 ,3.9 ,5.2 ,4.7 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　生乳　ホルスタイン種,63.0 ,3.2 ,3.7 ,4.7 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　普通牛乳,61.0 ,3.3 ,3.8 ,4.8 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　脱脂乳,31.0 ,3.4 ,0.1 ,4.8 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　加工乳　濃厚,70.0 ,3.4 ,4.2 ,5.3 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　加工乳　低脂肪,42.0 ,3.8 ,1.0,5.5 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　乳児用液体ミルク,66.0 ,1.5 ,3.6 ,7.1 ,0,,,,,,,
＜牛乳及び乳製品＞　液状乳類　乳飲料　コーヒー,56.0 ,2.2 ,2.0,7.2 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　液状乳類　乳飲料　フルーツ,46.0 ,1.2 ,0.2 ,9.9 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　粉乳類　全粉乳,490.0 ,25.5 ,26.2 ,39.3 ,1.1 ,,,,,,,
＜牛乳及び乳製品＞　粉乳類　脱脂粉乳,354.0 ,34.0,1.0,53.3 ,1.4 ,,,,,,,
＜牛乳及び乳製品＞　粉乳類　乳児用調製粉乳,510.0 ,12.4 ,26.8 ,55.9 ,0.4 ,,,,,,,
＜牛乳及び乳製品＞　練乳類　無糖練乳,135.0 ,6.8 ,7.9 ,11.2 ,0.4 ,,,,,,,
＜牛乳及び乳製品＞　練乳類　加糖練乳,314.0 ,7.7 ,8.5 ,56.0,0.2 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　クリーム　乳脂肪,404.0 ,1.9 ,43.0,6.5 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　クリーム　乳脂肪・植物性脂肪,388.0 ,4.4 ,42.1 ,3.0,0.4 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　クリーム　植物性脂肪,353.0 ,1.3 ,39.5 ,3.3 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　ホイップクリーム　乳脂肪,409.0 ,1.8 ,40.7 ,12.9 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　ホイップクリーム　乳脂肪・植物性脂肪,394.0 ,4.0,38.4 ,12.9 ,0.3 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　ホイップクリーム　植物性脂肪,399.0 ,6.3 ,36.1 ,12.9 ,0.6 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　コーヒーホワイトナー　液状　乳脂肪,205.0 ,5.2 ,18.3 ,5.5 ,0.4 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　コーヒーホワイトナー　液状　乳脂肪・植物性脂肪,227.0 ,4.8 ,21.6 ,3.7 ,0.4 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　コーヒーホワイトナー　液状　植物性脂肪,244.0 ,4.3 ,24.8 ,1.8 ,0.4 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　コーヒーホワイトナー　粉末状　乳脂肪,504.0 ,7.6 ,27.3 ,60.4 ,0.9 ,,,,,,,
＜牛乳及び乳製品＞　クリーム類　コーヒーホワイトナー　粉末状　植物性脂肪,542.0 ,2.1 ,36.2 ,56.4 ,1.8 ,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　全脂無糖,56.0 ,3.6 ,3.0,4.9 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　低脂肪無糖,40.0 ,3.7 ,1.0,5.2 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　無脂肪無糖,37.0 ,4.0,0.3 ,5.7 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　脱脂加糖,65.0 ,4.3 ,0.2 ,11.9 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　ヨーグルト　ドリンクタイプ　加糖,64.0 ,2.9 ,0.5 ,12.2 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　乳酸菌飲料　乳製品,64.0 ,1.1 ,0.1 ,16.4 ,0,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　乳酸菌飲料　殺菌乳製品,217.0 ,1.5 ,0.1 ,52.6 ,0,,,,,,,
＜牛乳及び乳製品＞　発酵乳・乳酸菌飲料　乳酸菌飲料　非乳製品,39.0 ,0.4 ,0.1 ,10.0,0,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　エダム,321.0 ,28.9 ,25.0,1.4 ,2.0,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　エメンタール,398.0 ,27.3 ,33.6 ,1.6 ,1.3 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　カテージ,99.0 ,13.3 ,4.5 ,1.9 ,1.0,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　カマンベール,291.0 ,19.1 ,24.7 ,0.9 ,2.0,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　クリーム,313.0 ,8.2 ,33.0,2.3 ,0.7 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　ゴーダ,356.0 ,25.8 ,29.0,1.4 ,2.0,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　チェダー,390.0 ,25.7 ,33.8 ,1.4 ,2.0,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　パルメザン,445.0 ,44.0,30.8 ,1.9 ,3.8 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　ブルー,326.0 ,18.8 ,29.0,1.0,3.8 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　マスカルポーネ,273.0 ,4.4 ,28.2 ,4.3 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　モッツァレラ,269.0 ,18.4 ,19.9 ,4.2 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　やぎ,280.0 ,20.6 ,21.7 ,2.7 ,1.2 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　ナチュラルチーズ　リコッタ,159.0 ,7.1 ,11.5 ,6.7 ,0.4 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　プロセスチーズ,313.0 ,22.7 ,26.0,1.3 ,2.8 ,,,,,,,
＜牛乳及び乳製品＞　チーズ類　チーズスプレッド,284.0 ,15.9 ,25.7 ,0.6 ,2.5 ,,,,,,,
＜牛乳及び乳製品＞　アイスクリーム類　アイスクリーム　高脂肪,205.0 ,3.5 ,12.0,22.4 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　アイスクリーム類　アイスクリーム　普通脂肪,178.0 ,3.9 ,8.0,23.2 ,0.3 ,,,,,,,
＜牛乳及び乳製品＞　アイスクリーム類　アイスミルク,167.0 ,3.4 ,6.4 ,23.9 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　アイスクリーム類　ラクトアイス　普通脂肪,217.0 ,3.1 ,13.6 ,22.2 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　アイスクリーム類　ラクトアイス　低脂肪,108.0 ,1.8 ,2.0,20.6 ,0.1 ,,,,,,,
＜牛乳及び乳製品＞　アイスクリーム類　ソフトクリーム,146.0 ,3.8 ,5.6 ,20.1 ,0.2 ,,,,,,,
＜牛乳及び乳製品＞　その他　カゼイン,358.0 ,86.2 ,1.5 ,0,0,,,,,,,
＜牛乳及び乳製品＞　その他　シャーベット,128.0 ,0.9 ,1.0,28.7 ,0,,,,,,,
＜牛乳及び乳製品＞　その他　チーズホエーパウダー,339.0 ,12.5 ,1.2 ,77.0,1.8 ,,,,,,,
＜その他＞　人乳,61.0 ,1.1 ,3.5 ,7.2 ,0,,,,,,,
＜その他＞　やぎ乳,57.0 ,3.1 ,3.6 ,4.5 ,0.1 ,,,,,,,
植物油脂類　あまに油,897.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　えごま油,897.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　オリーブ油,894.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　ごま油,890.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　米ぬか油,880.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　サフラワー油　ハイオレイック,892.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　サフラワー油　ハイリノール,883.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　大豆油,885.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　調合油,886.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　とうもろこし油,884.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　なたね油,887.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　パーム油,887.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　パーム核油,893.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　ひまわり油　ハイリノール,899.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　ひまわり油　ミッドオレイック,892.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　ひまわり油　ハイオレイック,899.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　ぶどう油,882.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　綿実油,883.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　やし油,889.0 ,0,100.0 ,0,0,,,,,,,
植物油脂類　落花生油,882.0 ,0,100.0 ,0,0,,,,,,,
動物油脂類　牛脂,869.0 ,0.2 ,99.8 ,0,0,,,,,,,
動物油脂類　たらのあぶら,853.0 ,0.1 ,99.8 ,0,0,,,,,,,
動物油脂類　ラード,885.0 ,0,100.0 ,0,0,,,,,,,
バター類　無発酵バター　有塩バター,700.0 ,0.6 ,81.0,0.2 ,1.9 ,,,,,,,
バター類　無発酵バター　食塩不使用バター,720.0 ,0.5 ,83.0,0.2 ,0,,,,,,,
バター類　発酵バター　有塩バター,713.0 ,0.6 ,80.0,4.4 ,1.3 ,,,,,,,
マーガリン類　マーガリン　家庭用　有塩,715.0 ,0.4 ,83.1 ,0.5 ,1.3 ,,,,,,,
マーガリン類　マーガリン　家庭用　無塩,715.0 ,0.4 ,83.1 ,0.5 ,0,,,,,,,
マーガリン類　マーガリン　業務用　有塩,740.0 ,0.3 ,84.3 ,0.1 ,1.3 ,,,,,,,
マーガリン類　マーガリン　業務用　無塩,740.0 ,0.3 ,84.3 ,0.1 ,0,,,,,,,
マーガリン類　ファットスプレッド,579.0 ,0.2 ,69.1 ,0,1.1 ,,,,,,,
その他　ショートニング　家庭用,889.0 ,0,99.9 ,0,0,,,,,,,
その他　ショートニング　業務用　製菓,881.0 ,0,99.9 ,0,0,,,,,,,
その他　ショートニング　業務用　フライ,886.0 ,0,99.9 ,0,0,,,,,,,
＜和生菓子・和半生菓子類＞　甘納豆　あずき,283.0 ,3.4 ,0.3 ,69.5 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　甘納豆　いんげんまめ,288.0 ,3.8 ,0.5 ,69.9 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　甘納豆　えんどう,293.0 ,3.8 ,0.4 ,72.2 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　今川焼　こしあん入り,217.0 ,4.5 ,1.1 ,48.3 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　今川焼　つぶしあん入り,220.0 ,4.5 ,1.4 ,48.2 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　今川焼　カスタードクリーム入り,224.0 ,4.7 ,2.6 ,46.7 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　ういろう　白,181.0 ,1.0 ,0.2 ,44.2 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　ういろう　黒,174.0 ,1.5 ,0.2 ,42.7 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　うぐいすもち　こしあん入り,236.0 ,3.5 ,0.4 ,55.8 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　うぐいすもち　つぶしあん入り,237.0 ,2.7 ,0.4 ,56.8 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　かしわもち　こしあん入り,203.0 ,4.0 ,0.4 ,46.7 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　かしわもち　つぶしあん入り,204.0 ,3.9 ,0.5 ,46.6 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　カステラ,313.0 ,7.1 ,5.0 ,61.8 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　かのこ,260.0 ,4.8 ,0.4 ,60.4 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　かるかん,226.0 ,2.1 ,0.3 ,54.8 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　きび団子,298.0 ,1.6 ,0.2 ,73.7 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　ぎゅうひ,253.0 ,1.3 ,0.2 ,62.4 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　きりざんしょ,245.0 ,2.1 ,0.3 ,59.3 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　きんぎょく糖,282.0 ,Tr,0,71.9 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　きんつば,260.0 ,6.0 ,0.7 ,58.6 ,0.3 ,,,,,,,
＜和生菓子・和半生菓子類＞　草もち　こしあん入り,224.0 ,4.2 ,0.4 ,52.1 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　草もち　つぶしあん入り,227.0 ,4.8 ,0.7 ,51.1 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　くし団子　あん　こしあん入り,198.0 ,3.8 ,0.4 ,45.4 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　くし団子　あん　つぶしあん入り,199.0 ,3.8 ,0.5 ,45.4 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　くし団子　みたらし,194.0 ,3.2 ,0.4 ,44.9 ,0.6 ,,,,,,,
＜和生菓子・和半生菓子類＞　くずもち　関西風　くずでん粉製品,93.0 ,0.1 ,0.1 ,22.5 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　くずもち　関東風　小麦でん粉製品,94.0 ,0.1 ,0.1 ,22.4 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　げっぺい,348.0 ,4.7 ,8.5 ,65.5 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　五平もち,178.0 ,3.0 ,0.5 ,40.9 ,0.6 ,,,,,,,
＜和生菓子・和半生菓子類＞　桜もち　関西風　こしあん入り,196.0 ,3.5 ,0.3 ,46.0 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　桜もち　関西風　つぶしあん入り,197.0 ,3.0 ,0.3 ,46.5 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　桜もち　関東風　こしあん入り,235.0 ,4.5 ,0.4 ,54.2 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　桜もち　関東風　つぶしあん入り,237.0 ,4.2 ,0.6 ,54.4 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　笹だんご　こしあん入り,227.0 ,4.0 ,0.5 ,54.6 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　笹だんご　つぶしあん入り,228.0 ,4.7 ,0.6 ,53.8 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　ずんだあん,190.0 ,6.3 ,3.4 ,36.6 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　ずんだもち,212.0 ,4.9 ,1.7 ,45.1 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　大福もち　こしあん入り,223.0 ,4.6 ,0.5 ,53.2 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　大福もち　つぶしあん入り,223.0 ,4.7 ,0.6 ,52.8 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　タルト　和菓子,288.0 ,5.9 ,3.0 ,60.7 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　ちまき,150.0 ,1.3 ,0.2 ,36.5 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　ちゃつう,320.0 ,6.2 ,4.3 ,66.4 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　どら焼　こしあん入り,282.0 ,6.6 ,3.1 ,58.4 ,0.3 ,,,,,,,
＜和生菓子・和半生菓子類＞　どら焼　つぶしあん入り,292.0 ,6.6 ,3.2 ,57.9 ,0.4 ,,,,,,,
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん入り,274.0 ,3.6 ,0.3 ,65.4 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　こしあん・つぶしあん混合,274.0 ,3.5 ,0.3 ,65.5 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　生八つ橋　あん入り　つぶしあん入り,275.0 ,3.7 ,0.5 ,65.1 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　ねりきり,259.0 ,5.3 ,0.3 ,60.1 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　こしあん入り,292.0 ,6.7 ,2.1 ,62.6 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　カステラまんじゅう　つぶしあん入り,292.0 ,6.9 ,2.3 ,62.2 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　こしあん入り,226.0 ,3.0 ,0.3 ,53.8 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　かるかんまんじゅう　つぶしあん入り,226.0 ,3.1 ,0.4 ,53.6 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　こしあん入り,216.0 ,3.1 ,0.2 ,51.4 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　くずまんじゅう　つぶしあん入り,218.0 ,1.3 ,0.1 ,53.4 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　こしあん入り,296.0 ,6.5 ,1.4 ,68.1 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　くりまんじゅう　つぶしあん入り,295.0 ,6.7 ,1.6 ,67.0 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　こしあん入り,299.0 ,6.8 ,3.1 ,61.6 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　とうまんじゅう　つぶしあん入り,294.0 ,6.9 ,3.3 ,61.3 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　こしあん入り,254.0 ,4.6 ,0.5 ,59.5 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　蒸しまんじゅう　つぶしあん入り,257.0 ,4.7 ,0.7 ,59.1 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　こしあん入り,273.0 ,6.1 ,5.6 ,51.3 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　あんまん　つぶしあん入り,279.0 ,6.2 ,6.0 ,51.3 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　まんじゅう　中華まんじゅう　肉まん,242.0 ,10.0 ,5.1 ,43.4 ,1.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　もなか　こしあん入り,277.0 ,4.9 ,0.3 ,65.5 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　もなか　つぶしあん入り,278.0 ,6.4 ,0.7 ,63.3 ,0.2 ,,,,,,,
＜和生菓子・和半生菓子類＞　ゆべし,321.0 ,2.4 ,3.5 ,71.2 ,0.6 ,,,,,,,
＜和生菓子・和半生菓子類＞　ようかん　練りようかん,289.0 ,3.6 ,0.2 ,69.9 ,0,,,,,,,
＜和生菓子・和半生菓子類＞　ようかん　水ようかん,168.0 ,2.6 ,0.2 ,39.9 ,0.1 ,,,,,,,
＜和生菓子・和半生菓子類＞　ようかん　蒸しようかん,237.0 ,4.4 ,0.3 ,55.4 ,0.2 ,,,,,,,
＜和干菓子類＞　あめ玉,385.0 ,0,0,97.5 ,0,,,,,,,
＜和干菓子類＞　芋かりんとう,465.0 ,1.4 ,20.6 ,71.3 ,0,,,,,,,
＜和干菓子類＞　おこし,376.0 ,3.8 ,0.7 ,90.2 ,0.2 ,,,,,,,
＜和干菓子類＞　おのろけ豆,438.0 ,11.3 ,13.6 ,70.2 ,1.0 ,,,,,,,
＜和干菓子類＞　かりんとう　黒,420.0 ,7.5 ,11.6 ,76.3 ,0,,,,,,,
＜和干菓子類＞　かりんとう　白,423.0 ,9.7 ,11.2 ,76.2 ,0,,,,,,,
＜和干菓子類＞　ごかぼう,367.0 ,10.6 ,6.4 ,71.7 ,0,,,,,,,
＜和干菓子類＞　小麦粉せんべい　磯部せんべい,377.0 ,4.3 ,0.8 ,89.3 ,1.3 ,,,,,,,
＜和干菓子類＞　小麦粉せんべい　かわらせんべい,390.0 ,7.0 ,3.2 ,84.9 ,0.1 ,,,,,,,
＜和干菓子類＞　小麦粉せんべい　巻きせんべい,386.0 ,4.3 ,1.4 ,90.4 ,0.1 ,,,,,,,
＜和干菓子類＞　小麦粉せんべい　南部せんべい　ごま入り,423.0 ,11.2 ,11.1 ,72.0 ,1.1 ,,,,,,,
＜和干菓子類＞　小麦粉せんべい　南部せんべい　落花生入り,421.0 ,11.7 ,9.5 ,73.9 ,0.9 ,,,,,,,
＜和干菓子類＞　しおがま,348.0 ,2.6 ,0.2 ,85.5 ,1.5 ,,,,,,,
＜和干菓子類＞　ひなあられ　関西風,385.0 ,8.0 ,1.4 ,85.8 ,1.7 ,,,,,,,
＜和干菓子類＞　ひなあられ　関東風,380.0 ,9.6 ,2.8 ,80.7 ,1.5 ,,,,,,,
＜和干菓子類＞　米菓　揚げせんべい,458.0 ,5.6 ,17.4 ,71.3 ,1.2 ,,,,,,,
＜和干菓子類＞　米菓　甘辛せんべい,374.0 ,6.7 ,0.9 ,86.2 ,1.2 ,,,,,,,
＜和干菓子類＞　米菓　あられ,378.0 ,7.5 ,1.0 ,84.9 ,1.7 ,,,,,,,
＜和干菓子類＞　米菓　しょうゆせんべい,368.0 ,7.3 ,1.0 ,83.9 ,1.3 ,,,,,,,
＜和干菓子類＞　ボーロ　小粒,391.0 ,2.5 ,2.1 ,90.6 ,0.1 ,,,,,,,
＜和干菓子類＞　ボーロ　そばボーロ,398.0 ,7.7 ,3.4 ,86.1 ,0.3 ,,,,,,,
＜和干菓子類＞　松風,378.0 ,4.0 ,0.7 ,89.7 ,0.1 ,,,,,,,
＜和干菓子類＞　みしま豆,402.0 ,12.3 ,8.6 ,75.8 ,0,,,,,,,
＜和干菓子類＞　八つ橋,390.0 ,3.3 ,0.5 ,94.2 ,0,,,,,,,
＜和干菓子類＞　らくがん　らくがん,384.0 ,2.4 ,0.2 ,94.3 ,0,,,,,,,
＜和干菓子類＞　らくがん　麦らくがん,396.0 ,4.8 ,1.8 ,90.4 ,0,,,,,,,
＜和干菓子類＞　らくがん　もろこしらくがん,374.0 ,6.6 ,0.3 ,89.9 ,0.3 ,,,,,,,
＜菓子パン類＞　揚げパン,369.0 ,8.7 ,18.7 ,43.5 ,1.1 ,,,,,,,
＜菓子パン類＞　あんパン　こしあん入り,267.0 ,6.8 ,3.6 ,53.5 ,0.3 ,,,,,,,
＜菓子パン類＞　あんパン　つぶしあん入り,266.0 ,7.0 ,3.8 ,53.0 ,0.3 ,,,,,,,
＜菓子パン類＞　あんパン　薄皮タイプ　こしあん入り,256.0 ,6.6 ,3.5 ,51.9 ,0.1 ,,,,,,,
＜菓子パン類＞　あんパン　薄皮タイプ　つぶしあん入り,258.0 ,6.8 ,3.7 ,51.4 ,0.2 ,,,,,,,
＜菓子パン類＞　カレーパン　皮及び具,302.0 ,6.6 ,18.3 ,32.3 ,1.2 ,,,,,,,
＜菓子パン類＞　カレーパン　皮のみ,363.0 ,7.2 ,22.4 ,38.4 ,1.0,,,,,,,
＜菓子パン類＞　カレーパン　具のみ,168.0 ,5.3 ,9.3 ,18.8 ,1.8 ,,,,,,,
＜菓子パン類＞　クリームパン,286.0 ,7.9 ,7.4 ,48.3 ,0.4 ,,,,,,,
＜菓子パン類＞　クリームパン　薄皮タイプ,218.0 ,6.0 ,7.1 ,33.9 ,0.2 ,,,,,,,
＜菓子パン類＞　ジャムパン,285.0 ,5.3 ,3.9 ,58.1 ,0.3 ,,,,,,,
＜菓子パン類＞　チョココロネ,320.0 ,5.8 ,15.3 ,44.4 ,0.4 ,,,,,,,
＜菓子パン類＞　チョコパン　薄皮タイプ,340.0 ,4.7 ,19.4 ,40.0 ,0.4 ,,,,,,,
＜菓子パン類＞　メロンパン,349.0 ,8.0,10.5 ,59.9 ,0.5 ,,,,,,,
＜菓子パン類＞　菓子パン　あんなし,294.0 ,8.2 ,6.1 ,54.1 ,0.5 ,,,,,,,
＜ケーキ・ペストリー類＞　シュークリーム,211.0 ,6.0 ,11.4 ,25.5 ,0.2 ,,,,,,,
＜ケーキ・ペストリー類＞　スポンジケーキ,283.0 ,7.9 ,7.5 ,52.1 ,0.2 ,,,,,,,
＜ケーキ・ペストリー類＞　ショートケーキ　果実なし,318.0 ,6.9 ,15.2 ,42.3 ,0.2 ,,,,,,,
＜ケーキ・ペストリー類＞　ショートケーキ　いちご,314.0 ,6.9 ,14.7 ,42.7 ,0.2 ,,,,,,,
＜ケーキ・ペストリー類＞　タルト　洋菓子,247.0 ,4.7 ,13.5 ,30.5 ,0.2 ,,,,,,,
＜ケーキ・ペストリー類＞　チーズケーキ　ベイクドチーズケーキ,299.0 ,8.5 ,21.2 ,23.3 ,0.5 ,,,,,,,
＜ケーキ・ペストリー類＞　チーズケーキ　レアチーズケーキ,349.0 ,5.8 ,27.5 ,22.5,0.5 ,,,,,,,
